antenna	0	Antenna1	833.3333333333334	571.4285714285714
antenna	1	Antenna1	1666.6666666666667	571.4285714285714
antenna	2	Antenna1	2500.0	571.4285714285714
antenna	3	Antenna1	3333.3333333333335	571.4285714285714
antenna	4	Antenna1	4166.666666666667	571.4285714285714
antenna	5	Antenna1	833.3333333333334	1142.857142857143
antenna	6	Antenna1	1666.6666666666667	1142.857142857143
antenna	7	Antenna1	2500.0	1142.857142857143
antenna	8	Antenna1	3333.3333333333335	1142.857142857143
antenna	9	Antenna1	4166.666666666667	1142.857142857143
antenna	10	Antenna1	833.3333333333334	1714.2857142857142
antenna	11	Antenna1	1666.6666666666667	1714.2857142857142
antenna	12	Antenna1	2500.0	1714.2857142857142
antenna	13	Antenna1	3333.3333333333335	1714.2857142857142
antenna	14	Antenna1	4166.666666666667	1714.2857142857142
antenna	15	Antenna1	833.3333333333334	2285.714285714286
antenna	16	Antenna1	1666.6666666666667	2285.714285714286
antenna	17	Antenna1	2500.0	2285.714285714286
antenna	18	Antenna1	3333.3333333333335	2285.714285714286
antenna	19	Antenna1	4166.666666666667	2285.714285714286
antenna	20	Antenna1	833.3333333333334	2857.1428571428573
antenna	21	Antenna1	1666.6666666666667	2857.1428571428573
antenna	22	Antenna1	2500.0	2857.1428571428573
antenna	23	Antenna1	3333.3333333333335	2857.1428571428573
antenna	24	Antenna1	4166.666666666667	2857.1428571428573
ue	0	UE1-App1	1097	429	app1
ue	1	UE1-App1	715	3150	app1
ue	2	UE1-App1	3337	1092	app1
ue	3	UE1-App1	3435	883	app1
ue	4	UE1-App1	313	1553	app1
ue	5	UE1-App1	2304	4393	app1
ue	6	UE1-App1	2722	1396	app1
ue	7	UE1-App1	426	654	app1
ue	8	UE1-App1	1107	1382	app1
ue	9	UE1-App1	1368	4596	app1
ue	10	UE1-App1	2009	671	app1
ue	11	UE1-App1	14	3711	app1
ue	12	UE1-App1	3169	3574	app1
ue	13	UE1-App1	718	3599	app1
ue	14	UE1-App1	4896	1547	app1
ue	15	UE1-App1	28	573	app1
ue	16	UE1-App1	2585	2999	app1
ue	17	UE1-App1	3673	418	app1
ue	18	UE1-App1	360	380	app1
ue	19	UE1-App1	1165	518	app1
ue	20	UE1-App1	1196	174	app1
ue	21	UE1-App1	3528	2349	app1
ue	22	UE1-App1	3907	1087	app1
ue	23	UE1-App1	3432	3845	app1
ue	24	UE1-App1	3149	302	app1
ue	25	UE1-App1	2500	1407	app1
ue	26	UE1-App1	4274	3283	app1
ue	27	UE1-App1	848	3957	app1
ue	28	UE1-App1	2617	4989	app1
ue	29	UE1-App1	2314	4318	app1
ue	30	UE2-App2	52	2583	app2
ue	31	UE2-App2	3658	3263	app2
ue	32	UE2-App2	4201	1780	app2
ue	33	UE2-App2	4412	2615	app2
ue	34	UE2-App2	3646	4887	app2
ue	35	UE2-App2	2133	3983	app2
ue	36	UE2-App2	3437	1535	app2
ue	37	UE2-App2	4179	131	app2
ue	38	UE2-App2	2973	1487	app2
ue	39	UE2-App2	677	3743	app2
ue	40	UE2-App2	2696	3989	app2
ue	41	UE2-App2	697	2146	app2
ue	42	UE2-App2	2744	1381	app2
ue	43	UE2-App2	1603	4541	app2
ue	44	UE2-App2	601	2962	app2
ue	45	UE2-App2	1588	3742	app2
ue	46	UE2-App2	4696	3190	app2
ue	47	UE2-App2	2754	67	app2
ue	48	UE2-App2	2402	1549	app2
ue	49	UE2-App2	723	3407	app2
